index,question_id,model,judge,score,correctness_score,completeness_score,safety_score,conciseness_score,style_score,score_final
0,328c149ed45a41c0b9d6f14659e63599,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,3,2,3,4,2,2
0,328c149ed45a41c0b9d6f14659e63599,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,3,4,3,2,4,4
1,b43c07656ead4150b360294ee932b410,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,3,2,3,4,2,2
1,b43c07656ead4150b360294ee932b410,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A=B,3,3,3,2,4,4
2,93c9b4bb32f4422f954c7af9ea2bdfcd,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,2,2,3,3,2,2
2,93c9b4bb32f4422f954c7af9ea2bdfcd,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,4,4,3,2,4,4
3,9f25ff7c0d6a4d74846bfe76af8d925c,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,3,2,3,4,2,2
3,9f25ff7c0d6a4d74846bfe76af8d925c,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,3,4,3,2,4,4
4,04ba0aeb79524f6c8520d47cada34f25,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,2,2,3,4,2,2
4,04ba0aeb79524f6c8520d47cada34f25,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,2,4,3,2,4,4
5,90b29911b57848ec89fc7d8c15f27c88,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,3,2,3,4,2,2
5,90b29911b57848ec89fc7d8c15f27c88,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,3,4,3,2,4,4
6,1f07cf6d146d4038b2b93aaba3935ce0,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,2,2,3,4,2,2
6,1f07cf6d146d4038b2b93aaba3935ce0,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,4,4,3,2,4,4
7,f54e99e9686549e7a096dd16dbab28e1,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,2,2,3,4,2,2
7,f54e99e9686549e7a096dd16dbab28e1,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,3,4,3,2,4,4
8,ed3077a3443a4cf88233f5bc636e7394,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,3,2,3,4,2,2
8,ed3077a3443a4cf88233f5bc636e7394,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,4,4,3,2,4,4
9,7bcf40b22c164f36a85efcbf169da647,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,2,2,3,2,2,2
9,7bcf40b22c164f36a85efcbf169da647,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,4,4,3,2,3,3
10,847e0891929a4521aee127ee20b50e30,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,3,2,3,4,3,3
10,847e0891929a4521aee127ee20b50e30,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,3,4,3,2,4,4
11,b26d8c58eaa04b1f8e7e88da9ddd4ed9,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A>B,1,2,2,2,2,2
11,b26d8c58eaa04b1f8e7e88da9ddd4ed9,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,4,4,3,3,4,4
12,e9a2e1240f4a46b6a832bb5d71b20ee1,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,A=B,3,3,3,3,3,3
12,e9a2e1240f4a46b6a832bb5d71b20ee1,Magpie-Align/Llama-3-8B-WildChat,gpt-4o-2024-08-06,B>A,4,3,3,3,4,4
